Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S000057;01/01/2020;23:15;AVDA. CIUDAD DE BARCELONA / CALL. DOCTOR ESQUERDO;-;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S000038;01/01/2020;22:35;CALL. VALLE DE TORANZO / CALL. SIERRA DE PAJAREJO;-;MONCLOA-ARAVACA;Caída;Despejado;Ciclomotor;Conductor;DE 21 A 24 AÑOS;Mujer;06
2020S000060;01/01/2020;20:15;GTA. MARIANO SALVADOR MAELLA;1;FUENCARRAL-EL PARDO;Caída;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14
2020S000060;01/01/2020;20:15;GTA. MARIANO SALVADOR MAELLA;1;FUENCARRAL-EL PARDO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S000033;01/01/2020;19:45;CALL. OLIVAR;40;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000035;01/01/2020;19:30;CALL. ANTONIO DE LEYVA / CALL. FUENLABRADA;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;14
2020S000035;01/01/2020;19:30;CALL. ANTONIO DE LEYVA / CALL. FUENLABRADA;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 21 A 24 AÑOS;Mujer;02
2020S000073;01/01/2020;18:48;AVDA. PIO XII;81;CHAMARTÍN;Atropello a persona;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S000073;01/01/2020;18:48;AVDA. PIO XII;81;CHAMARTÍN;Atropello a persona;Despejado;Turismo;Peatón;DE 18 A 20 AÑOS;Hombre;07
2020S000067;01/01/2020;18:40;PLAZA. BEATA MARIA ANA DE JESUS / PASEO. DELICIAS;-;ARGANZUELA;Caída;;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S000067;01/01/2020;18:40;PLAZA. BEATA MARIA ANA DE JESUS / PASEO. DELICIAS;-;ARGANZUELA;Caída;;Motocicleta hasta 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;14
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S000063;01/01/2020;16:46;CALL. BAHIA DE ALGECIRAS / CALL. UBRIQUE;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;DE 45 A 49 AÑOS;Hombre;14
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;02
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Hombre;02
2020S000030;01/01/2020;16:30;AVDA. SAN DIEGO / AVDA. MONTE IGUELDO;-;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;02
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000061;01/01/2020;15:50;AVDA. VIRGEN DEL CARMEN;1;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;06
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000229;01/01/2020;15:00;CALL. ARGÜESO;31;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000032;01/01/2020;14:22;CALL. ALFONSO XIII;1;PUENTE DE VALLECAS;Colisión lateral;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;
2020S000032;01/01/2020;14:22;CALL. ALFONSO XIII;1;PUENTE DE VALLECAS;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000424;01/01/2020;14:20;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / GTA. JUAN DE HARO;-;HORTALEZA;Choque contra obstáculo fijo;Despejado;Motocicleta > 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;01
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Mujer;01
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Mujer;14
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;14
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DESCONOCIDA;Hombre;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DESCONOCIDA;Hombre;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000045;01/01/2020;13:00;AVDA. ALBUFERA;67;PUENTE DE VALLECAS;Choque contra obstáculo fijo;;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000047;01/01/2020;12:39;CALL. ANSAR;82;LATINA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2020S000198;01/01/2020;12:25;AVDA. CIUDAD DE BARCELONA;10;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;07
2020S000198;01/01/2020;12:25;AVDA. CIUDAD DE BARCELONA;10;RETIRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Mujer;07
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;
2020S000206;01/01/2020;12:00;TRVA. COSTA BRAVA / CALL. COSTA BRAVA;-;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 15 A 17 AÑOS;Mujer;
2020S000022;01/01/2020;10:00;PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA;-;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;Hombre;14
2020S000022;01/01/2020;10:00;PLAZA. AGUSTIN GONZALEZ,  CON AVDA DAROCA;-;CIUDAD LINEAL;Alcance;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S000025;01/01/2020;10:00;AUTOV. M-30, +00900I;-;RETIRO;Alcance;;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14
2020S000025;01/01/2020;10:00;AUTOV. M-30, +00900I;-;RETIRO;Alcance;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Hombre;14
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;07
2020S000142;01/01/2020;9:40;GINZO LIMIA;43;FUENCARRAL-EL PARDO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;14
2020S000021;01/01/2020;9:30;CALL. LUIS BUÑUEL;2;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2020S000021;01/01/2020;9:30;CALL. LUIS BUÑUEL;2;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Todo terreno;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S000020;01/01/2020;9:15;CALL. PARADOR DEL SOL / CALL. FERNAN CABALLERO;-;CARABANCHEL;Colisión fronto-lateral;Despejado;Todo terreno;Pasajero;DE 25 A 29 AÑOS;Mujer;14
2020S000013;01/01/2020;8:30;AVDA. LUIS ARAGONES;12;SAN BLAS-CANILLEJAS;Solo salida de la vía;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;
2020S000018;01/01/2020;7:30;CALL. GENOVA;16;CENTRO;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S000018;01/01/2020;7:30;CALL. GENOVA;16;CENTRO;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Ciclomotor;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 55 A 59 AÑOS;Mujer;
2020S000009;01/01/2020;7:10;CALL. FRANCISCO SILVELA / CALL. MALDONADO;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;
2020S000012;01/01/2020;6:40;AVDA. MEDITERRANEO / CALL. ABTAO;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2020S000012;01/01/2020;6:40;AVDA. MEDITERRANEO / CALL. ABTAO;-;RETIRO;Alcance;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000976;01/01/2020;6:21;AVDA. PORTUGAL;177;LATINA;Vuelco;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Mujer;14
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;14
2020S000007;01/01/2020;6:13;CALL. BOCANGEL / CALL. MARQUES DE MONDEJAR;-;SALAMANCA;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;03
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Motocicleta hasta 125cc;Pasajero;DE 18 A 20 AÑOS;Hombre;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S000006;01/01/2020;5:05;CALL. EUGENIA DE MONTIJO;60;CARABANCHEL;Colisión lateral;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Hombre;14
2020S000017;01/01/2020;3:55;AUTOV. A-4, +00500E;-;PUENTE DE VALLECAS;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14
2020S000005;01/01/2020;3:30;CALL. TUDESCOS;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S000005;01/01/2020;3:30;CALL. TUDESCOS;1;CENTRO;Colisión lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000003;01/01/2020;2:00;CALL. BRAVO MURILLO;1;CHAMBERÍ;Alcance;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;14
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 35 A 39 AÑOS;Mujer;14
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Mujer;14
2020S000015;01/01/2020;2:00;PASEO. CASTELLANA / CALL. RAFAEL SALGADO;-;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Mujer;14
2020S000037;01/01/2020;1:55;AVDA. OROVILLA / CALL. CIRCULO;-;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14
2020S000037;01/01/2020;1:55;AVDA. OROVILLA / CALL. CIRCULO;-;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;14
2020S000002;01/01/2020;1:20;CALL. SILVANO;31;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S000002;01/01/2020;1:20;CALL. SILVANO;31;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Hombre;
2020S000001;01/01/2020;1:15;AVDA. CANILLEJAS A VICALVARO / CALL. SILFIDE;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S000001;01/01/2020;1:15;AVDA. CANILLEJAS A VICALVARO / CALL. SILFIDE;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000004;01/01/2020;1:00;CALL. MANDARINA;5;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Furgoneta;Conductor;DESCONOCIDA;;
2020S000014;01/01/2020;1:00;PLAZA. CIBELES / CALL. ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000014;01/01/2020;1:00;PLAZA. CIBELES / CALL. ALCALA;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 40 A 44 AÑOS;Mujer;
2020S000089;02/01/2020;23:15;CALL. HONDURAS; 1A;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;14
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Mujer;14
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;02
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Hombre;02
2020S000087;02/01/2020;23:00;CALL. ANTONIO LOPEZ;230;USERA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;02
2020S000086;02/01/2020;22:35;CALL. BRAVO MURILLO / INTER. PLAZA DE CASTILLA;-;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;
2020S000086;02/01/2020;22:35;CALL. BRAVO MURILLO / INTER. PLAZA DE CASTILLA;-;TETUÁN;Colisión fronto-lateral;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Otros vehículos con motor;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S000288;02/01/2020;22:20;CALL. NARVAEZ / CALL. DOCTOR CASTELO;-;RETIRO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Furgoneta;Conductor;DE 35 A 39 AÑOS;Mujer;07
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Mujer;02
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14
2020S000081;02/01/2020;20:45;CALL. CARCASTILLO / CALL. CAMINO VIEJO DE LEGANES;-;CARABANCHEL;Colisión múltiple;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;14
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;MAYOR DE 74 AÑOS;Hombre;14
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Pasajero;DE 70 A 74 AÑOS;Mujer;14
2020S000112;02/01/2020;20:22;AVDA. RAMON Y CAJAL / CALL. PRINCIPE DE VERGARA;-;CHAMARTÍN;Colisión lateral;Despejado;Motocicleta > 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;14
2020S000109;02/01/2020;20:00;AVDA. MONFORTE DE LEMOS / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión lateral;;Camión rígido;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S000109;02/01/2020;20:00;AVDA. MONFORTE DE LEMOS / CALL. GINZO DE LIMIA;-;FUENCARRAL-EL PARDO;Colisión lateral;;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S000078;02/01/2020;19:30;AVDA. CARABANCHEL ALTO / AVDA. PESETA;-;CARABANCHEL;Atropello a persona;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S000078;02/01/2020;19:30;AVDA. CARABANCHEL ALTO / AVDA. PESETA;-;CARABANCHEL;Atropello a persona;Despejado;Turismo;Peatón;DE 0 A 5 AÑOS;Hombre;02
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Motocicleta > 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;04
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;MAYOR DE 74 AÑOS;Hombre;14
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000074;02/01/2020;19:09;CALL. LOPEZ DE HOYOS / CALL. BORJAS BLANCAS;-;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S000978;02/01/2020;19:07;PASEO. EXTREMADURA;147;LATINA;Atropello a persona;Se desconoce;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14
2020S000978;02/01/2020;19:07;PASEO. EXTREMADURA;147;LATINA;Atropello a persona;Se desconoce;Turismo;Peatón;DE 65 A 69 AÑOS;Mujer;07
2020S000077;02/01/2020;18:58;IDB. ISLA DE TABARCA / CALL. FERMIN CABALLERO;-;FUENCARRAL-EL PARDO;Caída;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;14
2020S000077;02/01/2020;18:58;IDB. ISLA DE TABARCA / CALL. FERMIN CABALLERO;-;FUENCARRAL-EL PARDO;Caída;Despejado;Turismo;Peatón;DE 55 A 59 AÑOS;Hombre;02
2020S000076;02/01/2020;18:00;RONDA. ATOCHA;12;CENTRO;Colisión frontal;;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S000076;02/01/2020;18:00;RONDA. ATOCHA;12;CENTRO;Colisión frontal;;Turismo;Conductor;DESCONOCIDA;;
2020S000278;02/01/2020;17:45;CALL. ANTONIO LOPEZ;21;CARABANCHEL;Alcance;Despejado;Furgoneta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000278;02/01/2020;17:45;CALL. ANTONIO LOPEZ;21;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14
2020S000278;02/01/2020;17:45;CALL. ANTONIO LOPEZ;21;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S000278;02/01/2020;17:45;CALL. ANTONIO LOPEZ;21;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;DE 30 A 34 AÑOS;Mujer;
2020S000278;02/01/2020;17:45;CALL. ANTONIO LOPEZ;21;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Mujer;
2020S000072;02/01/2020;17:25;CALL. ALCALA / CALL. TORRE ARIAS;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Mujer;14
2020S000072;02/01/2020;17:25;CALL. ALCALA / CALL. TORRE ARIAS;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Hombre;14
