Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S001385;17/01/2020;18:00;CALL. VIRGEN DE LA CONSOLACION;7;CIUDAD LINEAL;Alcance;;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;
2020S001379;17/01/2020;17:45;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;
2020S001379;17/01/2020;17:45;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;
2020S001379;17/01/2020;17:45;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 55 A 59 AÑOS;Mujer;
2020S001379;17/01/2020;17:45;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S001262;17/01/2020;17:40;CALL. ARROYO BELINCOSO;16;MORATALAZ;Solo salida de la vía;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;
2020S001222;17/01/2020;17:05;AUTOV. M-30, KM 20,300 CALZADA 2;-;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S001222;17/01/2020;17:05;AUTOV. M-30, KM 20,300 CALZADA 2;-;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S001082;17/01/2020;17:00;CALL. CLAVEL / CALL. GRAN VIA;-;CENTRO;Otro;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S001082;17/01/2020;17:00;CALL. CLAVEL / CALL. GRAN VIA;-;CENTRO;Otro;Despejado;Motocicleta > 125cc;Conductor;DE 55 A 59 AÑOS;Hombre;
2020S001083;17/01/2020;17:00;CALL. MINERVA / AVDA. AURORA BOREAL;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S001083;17/01/2020;17:00;CALL. MINERVA / AVDA. AURORA BOREAL;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;14
2020S001083;17/01/2020;17:00;CALL. MINERVA / AVDA. AURORA BOREAL;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Pasajero;DE 21 A 24 AÑOS;Mujer;
2020S001083;17/01/2020;17:00;CALL. MINERVA / AVDA. AURORA BOREAL;-;VICÁLVARO;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;
2020S001258;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S001258;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 60 A 64 AÑOS;Hombre;
2020S001258;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;
2020S001258;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;
2020S001255;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Mujer;
2020S001255;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;
2020S001255;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;
2020S001255;17/01/2020;16:40;PNTE. FRANCESES;0;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;DE 25 A 29 AÑOS;Hombre;
2020S001280;17/01/2020;16:40;CALL. VALLE INCLAN / CALL. VALLE INCLAN;-;LATINA;Colisión lateral;;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2020S001280;17/01/2020;16:40;CALL. VALLE INCLAN / CALL. VALLE INCLAN;-;LATINA;Colisión lateral;;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S001280;17/01/2020;16:40;CALL. VALLE INCLAN / CALL. VALLE INCLAN;-;LATINA;Colisión lateral;;Turismo;Conductor;DESCONOCIDA;;
2020S001280;17/01/2020;16:40;CALL. VALLE INCLAN / CALL. VALLE INCLAN;-;LATINA;Colisión lateral;;Turismo;Conductor;DESCONOCIDA;;
2020S001277;17/01/2020;16:30;CALL. SANTA HORTENSIA;30;CHAMARTÍN;Atropello a animal;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S001277;17/01/2020;16:30;CALL. SANTA HORTENSIA;30;CHAMARTÍN;Atropello a animal;Despejado;Turismo;Peatón;DE 55 A 59 AÑOS;Mujer;
2020S001079;17/01/2020;16:25;CALL. IRUN / CALL. ARRIAZA;-;MONCLOA-ARAVACA;Atropello a persona;Despejado;Furgoneta;Conductor;DE 60 A 64 AÑOS;Hombre;14
2020S001079;17/01/2020;16:25;CALL. IRUN / CALL. ARRIAZA;-;MONCLOA-ARAVACA;Atropello a persona;Despejado;Furgoneta;Peatón;DE 60 A 64 AÑOS;Mujer;06
2020S001079;17/01/2020;16:25;CALL. IRUN / CALL. ARRIAZA;-;MONCLOA-ARAVACA;Atropello a persona;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S001079;17/01/2020;16:25;CALL. IRUN / CALL. ARRIAZA;-;MONCLOA-ARAVACA;Atropello a persona;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;14
2020S001079;17/01/2020;16:25;CALL. IRUN / CALL. ARRIAZA;-;MONCLOA-ARAVACA;Atropello a persona;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S001068;17/01/2020;16:15;CALL. PRINCIPE DE VERGARA;85;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;DE 50 A 54 AÑOS;Hombre;
2020S001068;17/01/2020;16:15;CALL. PRINCIPE DE VERGARA;85;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;
2020S001513;17/01/2020;15:50;AVDA. CARDENAL HERRERA ORIA / CALL. ARROYOFRESNO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Nublado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;
2020S001513;17/01/2020;15:50;AVDA. CARDENAL HERRERA ORIA / CALL. ARROYOFRESNO;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Nublado;Turismo;Conductor;DE 60 A 64 AÑOS;Mujer;
2020S001265;17/01/2020;15:45;CALL. GOYA;29;SALAMANCA;Otro;Despejado;Todo terreno;Conductor;DE 50 A 54 AÑOS;Mujer;
2020S001265;17/01/2020;15:45;CALL. GOYA;29;SALAMANCA;Otro;Despejado;Turismo;Conductor;DESCONOCIDA;;
2020S001270;17/01/2020;15:35;AVDA. POBLADOS;131;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2020S001270;17/01/2020;15:35;AVDA. POBLADOS;131;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;06
2020S001087;17/01/2020;15:25;CALL. VILLABLANCA / CALL. MINERVA;-;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S001087;17/01/2020;15:25;CALL. VILLABLANCA / CALL. MINERVA;-;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14
2020S001238;17/01/2020;15:10;AUTOV. M-30, +02300I;-;MONCLOA-ARAVACA;Colisión múltiple;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;06
2020S001238;17/01/2020;15:10;AUTOV. M-30, +02300I;-;MONCLOA-ARAVACA;Colisión múltiple;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S001238;17/01/2020;15:10;AUTOV. M-30, +02300I;-;MONCLOA-ARAVACA;Colisión múltiple;Despejado;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S001433;17/01/2020;15:10;CALL. ASCAO;70;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;07
2020S001433;17/01/2020;15:10;CALL. ASCAO;70;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14
2020S001072;17/01/2020;15:00;AVDA. REAL DE PINTO;156;VILLAVERDE;Colisión múltiple;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14
2020S001072;17/01/2020;15:00;AVDA. REAL DE PINTO;156;VILLAVERDE;Colisión múltiple;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Mujer;14
2020S001072;17/01/2020;15:00;AVDA. REAL DE PINTO;156;VILLAVERDE;Colisión múltiple;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;
2020S001061;17/01/2020;14:50;CALL. PRINCIPE DE VERGARA;35;SALAMANCA;Caída;Despejado;Motocicleta > 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S001221;17/01/2020;14:30;AUTOV. M-30,KM 6,800 CALZADA 1 LATERAL;-;SALAMANCA;Alcance;Despejado;Motocicleta > 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;06
2020S001221;17/01/2020;14:30;AUTOV. M-30,KM 6,800 CALZADA 1 LATERAL;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14
2020S001221;17/01/2020;14:30;AUTOV. M-30,KM 6,800 CALZADA 1 LATERAL;-;SALAMANCA;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14
2020S001057;17/01/2020;14:25;CALL. ALCALA / AUTOV. M-30;-;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;14
2020S001057;17/01/2020;14:25;CALL. ALCALA / AUTOV. M-30;-;SALAMANCA;Colisión lateral;Despejado;Turismo;Pasajero;MAYOR DE 74 AÑOS;Mujer;14
